id,school,location,role,rating,submittedDate,salary,monthlyTakeHome,monthlySavings,taxRate,housing,airfare,childrenTuition,healthInsurance,retirementPlan,education,experience,yearsAtSchool,curricula,workload,contractLength,schoolStructure,facultySize,extracurriculars,url
"1146","🇨🇳 Utahloy International School Zengcheng","Zengcheng, China","High School Teacher","","","","$3,400","51% - 60% savings","25%","Not provided","Rt/yearly/dependents included","Free tuition is provided for one child per teacher","Provided","No","Masters","11-15 years","2","American","Moderate (20-25 hours per week)","3 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1146"
"1147","🇨🇳 International school of Dongguan china","Dongguan, China","Elementary Homeroom Teacher","","","","$4,000","61% - 70% savings","0%","Not provided","RT","Free tuition is provided for one child per teacher","Provided","Yes","Masters","11-15 years","4","American","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Medium (20-50 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1147"
"1148","🇦🇪 Dubai College","dubai, United Arab Emirates","High School Teacher","","","","$5,000","31% - 40% savings","0%","Not provided","annual","Free tuition is provided for two children per teacher","Provided","Yes","Bachelors","9-10 years","2","British","Busy (26-30 hours per week)","3 years","Non-Profit (Board Governed)","Large (51-100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1148"
"1149","🇨🇳 Léman International School","Chengdu, China","Middle School Teacher","","","","$3,900","71% - 80% savings","15%","$1,460","Round trip for all dependents","Free tuition is provided for two children per teacher","Provided","No","Masters","11-15 years","3","International Baccalaureate","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1149"
"1150","🇨🇳 Beijing City International School","Beijing, China","Elementary Homeroom Teacher","","","","$4,141","21% - 30% savings","7%","Not provided","For 2 dependants for a married couple is $5,700 per year","Free tuition is provided for two children per teacher","Not Provided","No","Bachelors","9-10 years","3","International Baccalaureate","Light (Less than 20 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1150"
"1151","🇨🇳 Beijing City International School","Beijing, China","High School Teacher","","","","$3,580","61% - 70% savings","20%","$14,000","stipend at end of contract","Free tuition is provided for two children per teacher","Provided","No","Bachelors","3-5 years","3","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1151"
"1152","🇺🇸 St Paul School of Northern lights","St Paul, United States of America","Elementary Specialist Teacher","","","","$3,000","Less than 20% savings","20%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Provided","Yes","Masters","1-2 years","2","American","Heavy (More than 30 hours per week)","1 year","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1152"
"1153","🇲🇽 American School Foundation","Guadalajara, Mexico","Elementary Homeroom Teacher","","","","$30,000","Less than 20% savings","0%","Not provided","Not provided","Free tuition is provided for one child per teacher","Provided","Yes","Masters","3-5 years","","American","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1153"
"1154","🇨🇭 Inter-community school zurich","Zurich, Switzerland","Elementary Specialist Teacher","","","","$8,500","21% - 30% savings","9%","Not provided","Not provided","Free tuition is provided for two children per teacher","Not Provided","Yes","Masters","16+ years","3","International Baccalaureate","Busy (26-30 hours per week)","More than 5 years","Non-Profit (Board Governed)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1154"
"1155","🇬🇧 North Bridge House School - NBH","London, England","Middle School Coordinator/Lead","","","","$4,758","Less than 20% savings","22%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Not Provided","Yes","Ph.D / Ed.D","16+ years","15","British","Heavy (More than 30 hours per week)","5 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1155"
"1156","🇹🇭 St. Andrews International School Sathorn","Bangkok, Thailand","Elementary Homeroom Teacher","","","","$2,730","Less than 20% savings","10%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","9-10 years","","British","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1156"
"1157","🇰🇼 The american school of kuwait","Kuwait city, Kuwait","Middle School Teacher","","","","$3,800","31% - 40% savings","0%","Not provided","1per year","Free tuition is provided for two children per teacher","Provided","No","Bachelors","3-5 years","2","American","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1157"
"1158","🇹🇭 Nakornpayap International School","Chiang Mai, Thailand","Elementary Homeroom Teacher","","","","$1,780","Less than 20% savings","0%","Not provided","One-way ticket to home country after 2 years of employment or receive $1,180 USD instead","Free tuition is provided for two children per teacher","Provided","No","Bachelors","6-8 years","3","American","Heavy (More than 30 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1158"
"1159","🇯🇵 American School of Japan","Tokyo, Japan","Middle School Teacher","","","","$4,200","51% - 60% savings","20%","Not provided","Not provided","Partial tuition is provided for teacher's children","Provided","Yes","Masters","6-8 years","","American","Busy (26-30 hours per week)","3 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1159"
"1160","🇰🇿 Kazakhstan International School","Almaty, Kazakhstan","Middle School Teacher","","","","$3,600","31% - 40% savings","0%","Not provided","Depends on country of origin. But generally covers one return ticket per year","Free tuition is provided for two children per teacher","Provided","No","Masters","11-15 years","","International Baccalaureate","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1160"
"1161","🇨🇳 YK Pao","Shanghai, China","High School Teacher","","","","$60,000","41% - 50% savings","20%","$1,000","12000 Yuan per year","Free tuition is provided for two children per teacher","Provided","Yes","Bachelors","11-15 years","5","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1161"
"1162","🇪🇬 Modern English School Cairo","Cairo, Egypt","Elementary Homeroom Teacher","","","","$2,800","51% - 60% savings","0%","$200","Round trip once a year.","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Masters","3-5 years","1","British","Variable (Depends on term or school year)","2 years","For-Profit (Family-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1162"
"1163","🇮🇳 International School of Hyderabad","Hyderabad, India","Elementary Homeroom Teacher","","","","$3,500","51% - 60% savings","10%","Not provided","Not provided","Free tuition is provided for one child per teacher","Provided","No","Masters","16+ years","","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1163"
"1164","🇵🇪 Newton College","Lima, Peru","High School Teacher","","","","$4,000","41% - 50% savings","20%","Not provided","Start and End of Contract","Partial tuition is provided for teacher's children","Employee Pays Percentage","Yes","Masters","9-10 years","","International Baccalaureate","Light (Less than 20 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1164"
"1165","🇨🇴 Colegio Panamericano","Floridablanca, Colombia","Elementary Homeroom Teacher","","","","$386","Less than 20% savings","39%","Not provided","Not provided","Partial tuition is provided for teacher's children","Not Provided","No","Bachelors","3-5 years","1","American","Heavy (More than 30 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1165"
"1166","🇹🇼 Kangchiao International School (Linkou)","Taipei City, Taiwan","High School Teacher","","","","$21,000","41% - 50% savings","18%","$300","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","3-5 years","1","American","Busy (26-30 hours per week)","1 year","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1166"
"1167","🇰🇼 The American school of kuwait","Kuwait, Kuwait","High School Teacher","","","","$3,800","31% - 40% savings","0%","Not provided","Round trip once a year","Free tuition is provided for two children per teacher","Provided","No","Bachelors","6-8 years","4","American","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1167"
"1168","🇨🇳 College Dulwich Beijing","Beijing, China","High School Specialist Teacher","","","","$4,200","21% - 30% savings","25%","$1,500","It can be diferent for every employer based on negotation. Only to use to fly back home. It is taxed.","Free tuition is provided for one child per teacher","Provided","No","Masters","11-15 years","1","British","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1168"
"1169","🇦🇪 Aquila School","Dubai, United Arab Emirates","High School Specialist Teacher","","","","$3,267","51% - 60% savings","0%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","1-2 years","1","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1169"
"1170","🇺🇸 The Jersey City Public School","Jersey City, United States of America","High School Specialist Teacher","","","","$4,500","21% - 30% savings","14%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Employee Pays Percentage","Yes","Masters","11-15 years","2","American","Moderate (20-25 hours per week)","1 year","Non-Profit (Public)","Medium (20-50 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1170"
"1171","🇨🇳 Beijing Huijia Private School","Beijing, China","High School Teacher","","","","$4,500","71% - 80% savings","20%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Ph.D / Ed.D","3-5 years","","International Baccalaureate","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1171"
"1172","🇰🇼 Kuwait English School","salwa, Kuwait","High School Teacher","","","","$3,490","51% - 60% savings","0%","Not provided","yearly round trip / not including dependants","Partial tuition is provided for teacher's children","Provided","No","Bachelors","1-2 years","1","British","Light (Less than 20 hours per week)","1 year","For-Profit (Corporate-Owned)","Small (<20 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1172"
"1173","🇨🇳 Keystone Academy, Beijing","Beijing, China","Elementary Homeroom Teacher","","","","$4,800","21% - 30% savings","30%","$2,600","Round trip, each year. One way last year of contract","Free tuition is provided for one child per teacher","Provided","Yes","Masters","16+ years","6","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1173"
"1174","🇲🇹 Verdala International School","Pembroke, Malta","High School Counselor","","","","$2,520","Less than 20% savings","15%","Not provided","Start and end of contract","Free tuition is provided for one child per teacher","Provided","No","Bachelors","3-5 years","1","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1174"
"1175","🇦🇪 Dess dubai","Dubai, United Arab Emirates","Middle School Teacher","","","","$4,500","21% - 30% savings","0%","$2,000","Return","Free tuition is provided for two children per teacher","Provided","No","Bachelors","6-8 years","4","British","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1175"
"1176","🇦🇪 american school of dubai","dubai, United Arab Emirates","High School Teacher","","","","$4,600","41% - 50% savings","0%","Not provided","round trip to home of record, includes family","Free tuition is provided for two children per teacher","Employee Pays Percentage","Yes","Masters","11-15 years","9","American","Heavy (More than 30 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1176"
"1177","🇸🇦 The KAUST School","Thuwal, Saudi Arabia","Learning Support Teacher","","","","$5,600","71% - 80% savings","0%","Not provided","Not provided","Free tuition is provided for three children per teacher","Provided","Yes","Masters","6-8 years","","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Government/DoD)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1177"
"1178","🇶🇦 ACS International School Doha","Doha, Qatar","High School Teacher","","","","$4,166","21% - 30% savings","0%","Not provided","Round trip","Free tuition is provided for two children per teacher","Provided","No","Bachelors","9-10 years","4","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1178"
"1179","🇨🇳 Optics Valley International School","Wuhan, China","Head of School","","","","$55,000","31% - 40% savings","15%","Not provided","No dependents- 1 round trip per year","Free tuition is provided for one child per teacher","Provided","No","Ph.D / Ed.D","3-5 years","1","American","Heavy (More than 30 hours per week)","2 years","For-Profit (Family-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1179"
"1180","🇲🇽 Peterson Schools","Mexico city, Mexico","Elementary Homeroom Teacher","","","","$1,100","Less than 20% savings","30%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Employee Pays Percentage","Yes","Masters","9-10 years","5","British","Heavy (More than 30 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1180"
"1181","🇬🇧 ICS London","London, England","Elementary Principal","","","","$5,487","Less than 20% savings","20%","Not provided","Not provided","Partial tuition is provided for teacher's children","Provided","Yes","Masters","11-15 years","1","International Baccalaureate","Heavy (More than 30 hours per week)","More than 5 years","For-Profit (Corporate-Owned)","Small (<20 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1181"
"1182","🇨🇾 The English School Kyrenia","Kyrenia, Cyprus","High School Teacher","","","","$1,950","Less than 20% savings","30%","Not provided","Not provided","Partial tuition is provided for teacher's children","Not Provided","Yes","Masters","16+ years","8","British","Heavy (More than 30 hours per week)","1 year","For-Profit (Family-Owned)","Large (51-100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1182"
"1183","🇮🇩 Green School Bali","Denpasar, Indonesia","High School Counselor","","","","$2,506","Less than 20% savings","15%","$8,800","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","9-10 years","3","American","Heavy (More than 30 hours per week)","1 year","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1183"
"1184","🇶🇦 Mesaieed International School","Doha (Mesaieed), Qatar","High School Teacher","","","","$4,380","31% - 40% savings","0%","Not provided","Yearly Annual Returns for Family","Free tuition is provided for all of teacher's children","Provided","No","Bachelors","6-8 years","4","British","Moderate (20-25 hours per week)","2 years","Non-Profit (Government/DoD)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1184"
"1185","🇲🇾 Eaton International School","Kajang, Malaysia","High School Teacher","","","","$3,000","21% - 30% savings","10%","$800","Annual for teacher and dependents","Free tuition is provided for two children per teacher","Provided","Yes","Masters","11-15 years","3","British","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1185"
"1186","🇪🇹 International Community School of Addis Ababa","Addis Ababa, Ethiopia","High School Teacher","","","","$5,000","More than 80%","0%","Not provided","Round trip annually","Free tuition is provided for all of teacher's children","Provided","No","Masters","6-8 years","4","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1186"
"1187","🇹🇼 Taipei European School","Taipei, Taiwan","Dean of Students","","","","$7,100","31% - 40% savings","0%","$1,400","1500 per person (1 spouse and up to 2 children)","Free tuition is provided for two children per teacher","Provided","Yes","Masters","16+ years","3","International Baccalaureate","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1187"
"1188","🇮🇩 British School of Jakarta","Jakarta, Indonesia","High School Teacher","","","","","","","$1,200","Yearly","Partial tuition is provided for teacher's children","Provided","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1188"
"1189","🇲🇾 HELP International School","Kuala Lumpur, Malaysia","High School Teacher","","","","$10,500","Less than 20% savings","10%","Not provided","Not provided","Free tuition is provided for one child per teacher","Provided","Yes","Masters","9-10 years","3","British","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1189"
"1190","🇺🇬 Acorns International School","Kampala, Uganda","Early Childhood Education Coordinator","","","","$1,700","21% - 30% savings","30%","$500","Round Trip Annually","Free tuition is provided for two children per teacher","Provided","Yes","Masters","6-8 years","1","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1190"
"1191","🇻🇳 Vinschool","Hanoi, Vietnam","Elementary Specialist Teacher","","","","$3,100","51% - 60% savings","30%","$390","Round-trip (economy) when you complete the contract","Free tuition is provided for two children per teacher","Provided","No","Masters","11-15 years","2","British","Variable (Depends on term or school year)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1191"
"1192","🇻🇳 St. Marys International School","Hanoi, Vietnam","Elementary Homeroom Teacher","","","","$3,500","51% - 60% savings","25%","$650","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","6-8 years","4","American","Busy (26-30 hours per week)","2 years","For-Profit (Family-Owned)","Small (<20 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1192"
"1193","🇦🇺 The Friends' School","Hobart, Australia","Curriculum Coordinator","","","","$3,800","21% - 30% savings","30%","Not provided","Not provided","Partial tuition is provided for teacher's children","Not Provided","Yes","Masters","16+ years","","International Baccalaureate","Heavy (More than 30 hours per week)","More than 5 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1193"
"1194","🇶🇦 Park House English School","Doha, Qatar","High School Coordinator/Lead","","","","$4,459","Less than 20% savings","0%","Not provided","1 annual return trip for whole family to home country","Partial tuition is provided for teacher's children","Provided","No","Bachelors","9-10 years","1","British","Moderate (20-25 hours per week)","More than 5 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1194"
"1195","🇮🇹 Canadian School of Florence","Florence, Italy","Elementary Homeroom Teacher","","","","$1,900","Less than 20% savings","30%","Not provided","Not provided","Partial tuition is provided for teacher's children","Employee Pays Percentage","Yes","Bachelors","3-5 years","","Canadian","Busy (26-30 hours per week)","1 year","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1195"
"1196","🇮🇹 The English International School of Padua","Padua, Italy","Elementary Homeroom Teacher","","","","$1,700","Less than 20% savings","30%","Not provided","Not provided","Partial tuition is provided for teacher's children","Not Provided","Yes","Bachelors","3-5 years","","British","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1196"
"1197","🇸🇬 Nexus International School","Singapore, Singapore","Elementary Homeroom Teacher","","","","$4,900","31% - 40% savings","7%","Not provided","Not provided","Free tuition is provided for one child per teacher","Provided","No","Bachelors","3-5 years","1","International Baccalaureate","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1197"
"1198","🇯🇴 International Community School","Amman, Jordan","Middle School Teacher","","","","$4,800","31% - 40% savings","0%","Not provided","Not provided","Free tuition is provided for three children per teacher","Provided","No","Bachelors","11-15 years","5","British","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1198"
"1199","🇮🇹 H-Farm International School","Vicenza, Italy","Middle School Teacher","","","","","","","Not provided","One way after completing contract.","Partial tuition is provided for teacher's children","Provided","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1199"
"1200","🇨🇳 LEH Foshan","Foshan, China","High School Teacher","","","","$2,700","21% - 30% savings","30%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Bachelors","11-15 years","2","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","More than 4 hours per week","https://www.internationalteachersalary.com/schools/1200"
"1201","🇲🇾 Raffles American School","Johor, Bahru, Malaysia","Elementary Homeroom Teacher","","","","$3,157","Less than 20% savings","30%","Not provided","at the end of the 2y contract","Tuition is NOT provided for teacher's children","Provided","No","Masters","3-5 years","2","American","Light (Less than 20 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1201"
"1202","🇸🇳 Enko dakar","Dakar, Senegal","Elementary Homeroom Teacher","","","","$750","41% - 50% savings","0%","Not provided","Not provided","Free tuition is provided for one child per teacher","Not Provided","No","Bachelors","3-5 years","2","International Baccalaureate","Heavy (More than 30 hours per week)","Less than 1 year","Non-Profit (Board Governed)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1202"
"1203","🇩🇴 Abraham Lincoln School","La Romana, Dominican Republic","High School Coordinator/Lead","","","","$2,630","31% - 40% savings","0%","Not provided","single out, single back upon completion","Free tuition is provided for one child per teacher","Provided","No","Masters","11-15 years","1","British","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1203"
"1204","🇲🇾 Sri KDU International","Kuala Lumpur, Malaysia","Middle School Coordinator/Lead","","","","$2,239","21% - 30% savings","15%","$782","Not provided","Free tuition is provided for two children per teacher","Provided","Yes","Ph.D / Ed.D","9-10 years","1","British","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Small (<20 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1204"
"1205","🇺🇿 Presidential school","Termez, Uzbekistan","High School Teacher","","","","$4,000","71% - 80% savings","12%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Provided","No","Bachelors","6-8 years","2","British","Busy (26-30 hours per week)","2 years","Non-Profit (Government/DoD)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1205"
"1206","🇨🇭 International School of Zug and Luzern","Baar, Switzerland","Middle School Teacher","","","","$7,961","21% - 30% savings","10%","Not provided","Not provided","Partial tuition is provided for teacher's children","Not Provided","Yes","Masters","11-15 years","1","International Baccalaureate","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1206"
"1207","🇹🇭 Shrewsbury International School Bangkok, City Campus","Bangkok, Thailand","Elementary Homeroom Teacher","","","","$3,997","41% - 50% savings","15%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","11-15 years","2","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1207"
"1208","🇭🇰 Discovery Bay International School","Hong Kong, Hong Kong","High School Teacher","","","","$9,000","21% - 30% savings","13%","Not provided","End of contract stipend","Free tuition is provided for one child per teacher","Provided","Yes","Bachelors","11-15 years","2","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Small (<20 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1208"
"1209","🇸🇦 American International School Riyadh","Riyadh, Saudi Arabia","High School Teacher","","","","$4,600","Less than 20% savings","0%","Not provided","$10,000","Free tuition is provided for one child per teacher","Provided","Yes","Bachelors","16+ years","2","American","Busy (26-30 hours per week)","3 years","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1209"
"1210","🇨🇳 Eton House Foshan","Foshan, China","Elementary Homeroom Teacher","","","","$3,500","41% - 50% savings","20%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","Yes","Bachelors","6-8 years","","British","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1210"
"1211","🇨🇳 British School of Guangzhou","Guangzhou, China","High School Teacher","","","","$4,500","41% - 50% savings","20%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","Yes","Ph.D / Ed.D","11-15 years","3","British","Light (Less than 20 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1211"
"1212","🇨🇳 LEH International Foshan","Foshan, China","High School Teacher","","","","$2,200","Less than 20% savings","28%","$500","Not provided","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Masters","16+ years","1","British","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1212"
"1213","🇨🇳 LEH International Foshan","Foshan, China","Elementary Homeroom Teacher","","","","$2,800","21% - 30% savings","28%","Not provided","Not provided","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Bachelors","9-10 years","2","British","Heavy (More than 30 hours per week)","1 year","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1213"
"1214","🇮🇳 Oakridge International School","Hyderabad, India","Middle School Teacher","","","","$520","Less than 20% savings","0%","Not provided","Not provided","Free tuition is provided for all of teacher's children","Provided","No","Masters","1-2 years","","International Baccalaureate","Busy (26-30 hours per week)","1 year","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1214"
"1215","🇨🇳 Dipont Education","Changchun, China","High School Teacher","","","","$3,850","51% - 60% savings","0%","$675","Two 1600 USD flight allowances a year.","Free tuition is provided for one child per teacher","Provided","No","Dipont Education","16+ years","9","International Baccalaureate","Light (Less than 20 hours per week)","1 year","For-Profit (Corporate-Owned)","Small (<20 teachers)","None","https://www.internationalteachersalary.com/schools/1215"
"1216","🇵🇭 British School Manila","Manila, Philippines","High School Teacher","","","","$6,580","41% - 50% savings","30%","Not provided","Annual 2000 USD","Free tuition is provided for two children per teacher","Provided","Yes","Bachelors","11-15 years","2","British","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1216"
"1217","🇨🇳 BIBS","Beijing, China","High School Specialist Teacher","","","","$4,000","61% - 70% savings","20%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","16+ years","2","American","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1217"
"1218","🇹🇳 École Internationale de Sfax","Sfax, Tunisia","Middle School Teacher","","","","","","","Not provided","Not provided","Tuition is NOT provided for teacher's children","Not Provided","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1218"
